TaskNumber;N;FuncNumber;eps;r;dist;radius;num_minima;min;IsSolveAGP;timeAGP;IterAGP;
73; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 21.491000; 87467; 
74; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 432.917000; 374650; 
75; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 10.041000; 56744; 
76; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 0.013000; 62; 
77; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 145.130000; 215159; 
78; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 2.448000; 30056; 
79; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 1.613000; 24487; 
7; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 75.015000; 158558; 
80; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 2.538000; 30561; 
81; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 0.012000; 26; 
82; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 0.190000; 8910; 
83; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 35.793000; 105617; 
84; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 0.427000; 13270; 
85; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 1.529000; 24689; 
86; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 248.517000; 294972; 
87; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 8.967000; 53731; 
88; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 9.521000; 55286; 
89; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 875.010000; 515963; 
8; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 2427.024000; 844433; 
90; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 14.574000; 72570; 
91; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 3.597000; 37870; 
92; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 27.638000; 92346; 
93; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 453.756000; 371378; 
94; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 10.099000; 56023; 
95; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 6.229000; 46235; 
96; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 2.847000; 29647; 
97; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 4.098000; 35641; 
98; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 7.742000; 49524; 
99; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 64.485000; 140891; 
9; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 8.619000; 51480; 
